mapping_id,source_benchmark,target_benchmark,source_scenario_id,source_scenario,source_leaderboard_id,target_scenario_id,target_scenario,target_leaderboard_id,overlapping_players,correlation,source_cutoff,source_percentile,global_percentile_target_score,paired_window_target_score,paired_monotonic_target_score,linear_regression_target_score,trimmed_regression_target_score,log_regression_target_score,confidence
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,whisphererawcontrol-larger-slowed,WhisphereRawControl Larger + Slowed,128696,smoothsphere-viscose-easier,Smoothsphere Viscose Easier,185342,4823,0.8303474746028098,5500,12.97602465696589,9873,9061.5,9708,8579.509644102449,8527.99499375432,8340.64307088888,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,whisphererawcontrol-larger-slowed,WhisphereRawControl Larger + Slowed,128696,smoothsphere-viscose-easier,Smoothsphere Viscose Easier,185342,4823,0.8303474746028098,6700,22.49948137391459,10962,9727.5,9735.64705882353,9456.488692626557,9426.161946253658,9386.26826318782,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,whisphererawcontrol-larger-slowed,WhisphereRawControl Larger + Slowed,128696,smoothsphere-viscose-easier,Smoothsphere Viscose Easier,185342,4823,0.8303474746028098,7800,32.9297928459236,11829,10482,10495.941176470587,10260.386153773656,10249.481652711387,10280.204417300572,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,whisphererawcontrol-larger-slowed,WhisphereRawControl Larger + Slowed,128696,smoothsphere-viscose-easier,Smoothsphere Viscose Easier,185342,4823,0.8303474746028098,8700,42.38805085499215,12429,11112,11053.108695652174,10918.120440166738,10923.106867085891,10974.442957168354,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,whisphererawcontrol-larger-slowed,WhisphereRawControl Larger + Slowed,128696,smoothsphere-viscose-easier,Smoothsphere Viscose Easier,185342,4823,0.8303474746028098,9600,52.818362327001154,13038,11506.5,11526.483870967742,11575.854726559817,11596.732081460397,11640.373491517235,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,whisphererawcontrol-larger-slowed,WhisphereRawControl Larger + Slowed,128696,smoothsphere-viscose-easier,Smoothsphere Viscose Easier,185342,4823,0.8303474746028098,10500,63.42648845686513,13734,12166.5,12180.673652694612,12233.5890129529,12270.357295834901,12281.657533249954,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,whisphererawcontrol-larger-slowed,WhisphereRawControl Larger + Slowed,128696,smoothsphere-viscose-easier,Smoothsphere Viscose Easier,185342,4823,0.8303474746028098,11400,74.52953205109208,14289,12730.5,12711.132743362832,12891.32329934598,12943.982510209406,12901.212944171042,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,whisphererawcontrol-larger-slowed,WhisphereRawControl Larger + Slowed,128696,smoothsphere-viscose-easier,Smoothsphere Viscose Easier,185342,4823,0.8303474746028098,12500,84.61458672909937,14682,14142,14101.942105263159,13695.220760493079,13767.302216667134,13632.363926900991,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,whisphere-80,Whisphere 80%,55382,vt-controlsphere-viscose-easier,VT Controlsphere Viscose Easier,184157,4116,0.8639784924223989,6300,7.391859828435845,2280,2332.5,2583,2043.1493206454425,2023.1468154582242,1985.3221774834378,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,whisphere-80,Whisphere 80%,55382,vt-controlsphere-viscose-easier,VT Controlsphere Viscose Easier,184157,4116,0.8639784924223989,7700,15.717588367707002,2744,2428,2583,2364.316176155474,2350.6234244513757,2336.4909265097713,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,whisphere-80,Whisphere 80%,55382,vt-controlsphere-viscose-easier,VT Controlsphere Viscose Easier,184157,4116,0.8639784924223989,9000,26.008395692644644,3132,2635,2675.6838709677418,2662.5425419862177,2654.7088470878734,2651.8748164264152,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,whisphere-80,Whisphere 80%,55382,vt-controlsphere-viscose-easier,VT Controlsphere Viscose Easier,184157,4116,0.8639784924223989,10000,35.23909472531484,3397,2894.5,2886.3290322580647,2891.9474387790974,2888.6207106544102,2888.622968350653,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,whisphere-80,Whisphere 80%,55382,vt-controlsphere-viscose-easier,VT Controlsphere Viscose Easier,184157,4116,0.8639784924223989,11000,45.11620125327006,3642,3092.5,3078.5877192982457,3121.352335571977,3122.532574220947,3120.9450622639633,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,whisphere-80,Whisphere 80%,55382,vt-controlsphere-viscose-easier,VT Controlsphere Viscose Easier,184157,4116,0.8639784924223989,12000,55.83591896331447,3892,3347.5,3306.4508196721313,3350.757232364857,3356.4444377874843,3349.3165600336656,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,whisphere-80,Whisphere 80%,55382,vt-controlsphere-viscose-easier,VT Controlsphere Viscose Easier,184157,4116,0.8639784924223989,13000,66.67427146072885,4170,3569,3569.648936170213,3580.1621291577367,3590.356301354021,3574.1265761865516,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,whisphere-80,Whisphere 80%,55382,vt-controlsphere-viscose-easier,VT Controlsphere Viscose Easier,184157,4116,0.8639784924223989,14500,79.29214576869258,4401,4107,4084.8636363636365,3924.2694743470565,3941.224096703826,3905.358213713173,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,smoothbot-invincible-goated-75,SmoothBot Invincible Goated 75%,75962,smoothbot-perfected-easier,SmoothBot Perfected Easier,184652,3962,0.8539149198927876,1800,8.546598245323622,3288.32,3276.58,3648.34,2973.172164247674,2955.562780618035,2952.6534802328965,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,smoothbot-invincible-goated-75,SmoothBot Invincible Goated 75%,75962,smoothbot-perfected-easier,SmoothBot Perfected Easier,184652,3962,0.8539149198927876,2250,21.50306240688628,3920.97,3641.82,3648.34,3437.637087554337,3428.4705167146494,3456.7075262163635,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,smoothbot-invincible-goated-75,SmoothBot Invincible Goated 75%,75962,smoothbot-perfected-easier,SmoothBot Perfected Easier,184652,3962,0.8539149198927876,2650,37.21403741102466,4404.86,3889.67,3882.0189189189186,3850.4947971602596,3848.832948800529,3880.2222199998773,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,smoothbot-invincible-goated-75,SmoothBot Invincible Goated 75%,75962,smoothbot-perfected-easier,SmoothBot Perfected Easier,184652,3962,0.8539149198927876,2900,48.23704684654859,4673.53,4034.46,4091.3929166666667,4108.530865663961,4111.559468854203,4135.335964770366,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,smoothbot-invincible-goated-75,SmoothBot Invincible Goated 75%,75962,smoothbot-perfected-easier,SmoothBot Perfected Easier,184652,3962,0.8539149198927876,3150,59.94868399271643,4989.14,4394.43,4343.349444444445,4366.566934167662,4374.285988907878,4384.063181270463,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,smoothbot-invincible-goated-75,SmoothBot Invincible Goated 75%,75962,smoothbot-perfected-easier,SmoothBot Perfected Easier,184652,3962,0.8539149198927876,3400,70.66214202946533,5210.86,4646.14,4618.207083333334,4624.603002671364,4637.012508961552,4627.053415634899,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,smoothbot-invincible-goated-75,SmoothBot Invincible Goated 75%,75962,smoothbot-perfected-easier,SmoothBot Perfected Easier,184652,3962,0.8539149198927876,3650,81.34083760966728,5367.36,4929.15,4916.284666666666,4882.639071175066,4899.739029015227,4864.847540780027,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,smoothbot-invincible-goated-75,SmoothBot Invincible Goated 75%,75962,smoothbot-perfected-easier,SmoothBot Perfected Easier,184652,3962,0.8539149198927876,4000,90.19864260883959,5589.08,5343.89,5326.665925925926,5243.8895670802485,5267.556157090372,5189.886112719229,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,leaptrack-goated-60-larger,Leaptrack Goated 60% Larger,128691,leapstrafes-control-wobin-easier,Leapstrafes Control wobin Easier,185344,3695,0.8148286578997663,850,0.42323970757983836,1236,2188,2416,792.7731507006113,730.5129270687321,991.440488641539,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,leaptrack-goated-60-larger,Leaptrack Goated 60% Larger,128691,leapstrafes-control-wobin-easier,Leapstrafes Control wobin Easier,185344,3695,0.8148286578997663,1200,2.049283169111866,1650,2195,2416,1328.0553163245393,1280.347817427478,1453.9676665512195,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,leaptrack-goated-60-larger,Leaptrack Goated 60% Larger,128691,leapstrafes-control-wobin-easier,Leapstrafes Control wobin Easier,185344,3695,0.8148286578997663,1500,6.634658815263396,2028,2227,2416,1786.868601145049,1751.6348663064032,1862.7666836789576,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,leaptrack-goated-60-larger,Leaptrack Goated 60% Larger,128691,leapstrafes-control-wobin-easier,Leapstrafes Control wobin Easier,185344,3695,0.8148286578997663,1700,12.948123860347623,2364,2310,2416,2092.7441243587223,2065.826232225687,2140.495468363057,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,leaptrack-goated-60-larger,Leaptrack Goated 60% Larger,128691,leapstrafes-control-wobin-easier,Leapstrafes Control wobin Easier,185344,3695,0.8148286578997663,1900,22.649179450290248,2656,2417,2458.3591160220994,2398.6196475723955,2380.01759814497,2421.8612262061692,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,leaptrack-goated-60-larger,Leaptrack Goated 60% Larger,128691,leapstrafes-control-wobin-easier,Leapstrafes Control wobin Easier,185344,3695,0.8148286578997663,2100,36.57092192649347,2961,2679,2670.4285714285716,2704.4951707860687,2694.208964064254,2706.520019730682,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,leaptrack-goated-60-larger,Leaptrack Goated 60% Larger,128691,leapstrafes-control-wobin-easier,Leapstrafes Control wobin Easier,185344,3695,0.8148286578997663,2250,50.25846061194105,3226,2852,2835.3333333333335,2933.9018131963235,2929.8524885037164,2922.0040262806633,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,leaptrack-goated-60-larger,Leaptrack Goated 60% Larger,128691,leapstrafes-control-wobin-easier,Leapstrafes Control wobin Easier,185344,3695,0.8148286578997663,2450,68.21185405758068,3519,3261,3292.2727272727275,3239.7773364099967,3244.0438544229996,3211.7770517344247,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,controlsphere-raim-easy-90,Controlsphere rAim Easy 90%,83485,controlsphere-superbaim-viscose-easier,Controlsphere SuperbAim Viscose Easier,185345,3589,0.8745579369019578,6100,13.264227503665566,7743,7185,7690.5,6473.5069471575625,6406.936960811877,6587.862467656636,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,controlsphere-raim-easy-90,Controlsphere rAim Easy 90%,83485,controlsphere-superbaim-viscose-easier,Controlsphere SuperbAim Viscose Easier,185345,3589,0.8745579369019578,6950,21.06250213114195,8673,7561.5,7690.5,7268.5060028512235,7217.15348192803,7379.7506843986885,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,controlsphere-raim-easy-90,Controlsphere rAim Easy 90%,83485,controlsphere-superbaim-viscose-easier,Controlsphere SuperbAim Viscose Easier,185345,3589,0.8745579369019578,7700,29.164251372455418,9363,8061,8100.610294117647,7969.975757875042,7932.050412324635,8068.0319397176845,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,controlsphere-raim-easy-90,Controlsphere rAim Easy 90%,83485,controlsphere-superbaim-viscose-easier,Controlsphere SuperbAim Viscose Easier,185345,3589,0.8745579369019578,8400,37.68540934974597,10002,8592,8539.680497925312,8624.680862563939,8599.287547361466,8702.590617917169,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,controlsphere-raim-easy-90,Controlsphere rAim Easy 90%,83485,controlsphere-superbaim-viscose-easier,Controlsphere SuperbAim Viscose Easier,185345,3589,0.8745579369019578,9100,47.28918743819688,10731,9058.5,9014.105882352942,9279.385967252836,9266.524682398298,9330.310393924154,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,controlsphere-raim-easy-90,Controlsphere rAim Easy 90%,83485,controlsphere-superbaim-viscose-easier,Controlsphere SuperbAim Viscose Easier,185345,3589,0.8745579369019578,9800,57.564701469635494,11436,9792,9800.724832214764,9934.091071941733,9933.76181743513,9951.783912691984,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,controlsphere-raim-easy-90,Controlsphere rAim Easy 90%,83485,controlsphere-superbaim-viscose-easier,Controlsphere SuperbAim Viscose Easier,185345,3589,0.8745579369019578,10500,68.6670985781021,11913,10351.5,10442.464285714286,10588.79617663063,10600.998952471962,10567.513832693374,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,controlsphere-raim-easy-90,Controlsphere rAim Easy 90%,83485,controlsphere-superbaim-viscose-easier,Controlsphere SuperbAim Viscose Easier,185345,3589,0.8745579369019578,11500,80.40031370409521,12570,11635.5,11607.76923076923,11524.089183329055,11554.194859667436,11438.007479126934,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,vt-controlsphere-intermediate-s5-80,VT Controlsphere Intermediate S5 80%,107281,whisphere-viscose-easier,Whisphere Viscose Easier,185346,3410,0.8544961981512447,1850,6.59010947797046,10480,11070,12090,8386.8537618809,8206.51774692157,8725.57799258211,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,vt-controlsphere-intermediate-s5-80,VT Controlsphere Intermediate S5 80%,107281,whisphere-viscose-easier,Whisphere Viscose Easier,185346,3410,0.8544961981512447,2300,15.641240869394387,12680,11660,12090,10432.329853903335,10303.595920439742,10704.322275458744,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,vt-controlsphere-intermediate-s5-80,VT Controlsphere Intermediate S5 80%,107281,whisphere-viscose-easier,Whisphere Viscose Easier,185346,3410,0.8544961981512447,2700,27.04980979765328,14420,12460,12623.671232876712,12250.530824589941,12167.665408011451,12443.146564441136,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,vt-controlsphere-intermediate-s5-80,VT Controlsphere Intermediate S5 80%,107281,whisphere-viscose-easier,Whisphere Viscose Easier,185346,3410,0.8544961981512447,3000,37.38324433411319,15710,13590,13692.37668161435,13614.181552604898,13565.717523690233,13736.79023840403,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,vt-controlsphere-intermediate-s5-80,VT Controlsphere Intermediate S5 80%,107281,whisphere-viscose-easier,Whisphere Viscose Easier,185346,3410,0.8544961981512447,3300,49.509760148590004,17310,14420,14538.663101604277,14977.832280619854,14963.769639369013,15022.521557489192,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,vt-controlsphere-intermediate-s5-80,VT Controlsphere Intermediate S5 80%,107281,whisphere-viscose-easier,Whisphere Viscose Easier,185346,3410,0.8544961981512447,3600,61.970246280785105,18680,15700,15686.857142857143,16341.483008634808,16361.821755047797,16301.103968032918,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,vt-controlsphere-intermediate-s5-80,VT Controlsphere Intermediate S5 80%,107281,whisphere-viscose-easier,Whisphere Viscose Easier,185346,3410,0.8544961981512447,3850,73.06806207918846,19500,17060,17059.58762886598,17477.858615313937,17526.865184780112,17361.587589153372,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,vt-controlsphere-intermediate-s5-80,VT Controlsphere Intermediate S5 80%,107281,whisphere-viscose-easier,Whisphere Viscose Easier,185346,3410,0.8544961981512447,4100,81.61377315021521,20320,18970,18823.571428571428,18614.23422199307,18691.90861451243,18417.859014901005,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,air-angelic-4-voltaic-easy-80-good-version,Air Angelic 4 Voltaic Easy 80% (Good Version),13681,air-angelic-4-voltaic-easy-70,Air Angelic 4 Voltaic Easy 70%,14155,4511,0.8691947391325834,1050,0.2507754240084472,2301,3584,3897.5,2544.317093669193,2536.34572192578,2300.2018291344316,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,air-angelic-4-voltaic-easy-80-good-version,Air Angelic 4 Voltaic Easy 80% (Good Version),13681,air-angelic-4-voltaic-easy-70,Air Angelic 4 Voltaic Easy 70%,14155,4511,0.8691947391325834,1600,1.0387382036560417,2945,3590,3897.5,3069.120647970452,3066.9811998527216,2992.314234986353,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,air-angelic-4-voltaic-easy-80-good-version,Air Angelic 4 Voltaic Easy 80% (Good Version),13681,air-angelic-4-voltaic-easy-70,Air Angelic 4 Voltaic Easy 70%,14155,4511,0.8691947391325834,2000,3.3551111991024882,3440,3624.5,3897.5,3450.795960189549,3452.8979110723158,3439.75930273349,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,air-angelic-4-voltaic-easy-80-good-version,Air Angelic 4 Voltaic Easy 80% (Good Version),13681,air-angelic-4-voltaic-easy-70,Air Angelic 4 Voltaic Easy 70%,14155,4511,0.8691947391325834,2400,10.250115488682109,3932,3859,3897.5,3832.4712724086467,3838.8146222919095,3854.5811491330505,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,air-angelic-4-voltaic-easy-80-good-version,Air Angelic 4 Voltaic Easy 80% (Good Version),13681,air-angelic-4-voltaic-easy-70,Air Angelic 4 Voltaic Easy 70%,14155,4511,0.8691947391325834,2700,21.384544314657163,4307,4163,4186.285714285715,4118.72775657297,4128.252155706605,4148.797472599317,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,air-angelic-4-voltaic-easy-80-good-version,Air Angelic 4 Voltaic Easy 80% (Good Version),13681,air-angelic-4-voltaic-easy-70,Air Angelic 4 Voltaic Easy 70%,14155,4511,0.8691947391325834,3000,38.028113244902,4656,4410.5,4424.503703703704,4404.984240737293,4417.6896891213,4430.962233460753,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,air-angelic-4-voltaic-easy-80-good-version,Air Angelic 4 Voltaic Easy 80% (Good Version),13681,air-angelic-4-voltaic-easy-70,Air Angelic 4 Voltaic Easy 70%,14155,4511,0.8691947391325834,3300,59.64759453573549,5011,4718,4728.54347826087,4691.240724901616,4707.127222535996,4702.708029306737,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,air-angelic-4-voltaic-easy-80-good-version,Air Angelic 4 Voltaic Easy 80% (Good Version),13681,air-angelic-4-voltaic-easy-70,Air Angelic 4 Voltaic Easy 70%,14155,4511,0.8691947391325834,3600,78.64713258100706,5218,5048,5033.235294117647,4977.497209065939,4996.5647559506915,4965.319371051819,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,cloverrawcontrol-easy-80-speed,cloverRawControl Easy 80% Speed,98867,cloverrawcontrol-viscose-easier-50cm,cloverRawControl Viscose Easier 50cm,185349,3252,0.8480242106434072,3900,13.303493066526242,7614,7254,7641,6770.561343143098,6721.656751688445,6623.209613457049,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,cloverrawcontrol-easy-80-speed,cloverRawControl Easy 80% Speed,98867,cloverrawcontrol-viscose-easier-50cm,cloverRawControl Viscose Easier 50cm,185349,3252,0.8480242106434072,4550,21.876426189222396,8604,7623,7641,7508.418059943275,7470.487878501346,7437.751697444835,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,cloverrawcontrol-easy-80-speed,cloverRawControl Easy 80% Speed,98867,cloverrawcontrol-viscose-easier-50cm,cloverRawControl Viscose Easier 50cm,185349,3252,0.8480242106434072,5200,31.47797086185712,9543,8157,8069.6578947368425,8246.27477674345,8219.319005314246,8223.882665398383,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,cloverrawcontrol-easy-80-speed,cloverRawControl Easy 80% Speed,98867,cloverrawcontrol-viscose-easier-50cm,cloverRawControl Viscose Easier 50cm,185349,3252,0.8480242106434072,5700,39.826224328593995,10104,8556,8545.25,8813.85686658974,8795.342949016478,8812.06449598978,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,cloverrawcontrol-easy-80-speed,cloverRawControl Easy 80% Speed,98867,cloverrawcontrol-viscose-easier-50cm,cloverRawControl Viscose Easier 50cm,185349,3252,0.8480242106434072,6200,48.832718974899066,10752,9270,9295.465753424658,9381.438956436028,9371.36689271871,9387.59290665582,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,cloverrawcontrol-easy-80-speed,cloverRawControl Easy 80% Speed,98867,cloverrawcontrol-viscose-easier-50cm,cloverRawControl Viscose Easier 50cm,185349,3252,0.8480242106434072,6700,58.35878532560997,11259,9741,9800.20430107527,9949.021046282316,9947.390836420942,9951.731169059527,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,cloverrawcontrol-easy-80-speed,cloverRawControl Easy 80% Speed,98867,cloverrawcontrol-viscose-easier-50cm,cloverRawControl Viscose Easier 50cm,185349,3252,0.8480242106434072,7200,68.75724065297526,11778,10461,10434.365853658537,10516.603136128606,10523.414780123172,10505.532007834969,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,cloverrawcontrol-easy-80-speed,cloverRawControl Easy 80% Speed,98867,cloverrawcontrol-viscose-easier-50cm,cloverRawControl Viscose Easier 50cm,185349,3252,0.8480242106434072,7700,76.96857995436194,12264,11325,11271.74074074074,11084.185225974896,11099.438723825404,11049.88483753843,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,controlsphere-far-far-larger-90,"Controlsphere Far, Far Larger 90%",128692,flower-easier-50cm,Flower Easier 50cm,185354,3091,0.7735084918726103,7600,22.811570592358258,2363,1954,1993.3680154142583,1990.1169183287166,1936.5824984710212,2044.5855190931006,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,controlsphere-far-far-larger-90,"Controlsphere Far, Far Larger 90%",128692,flower-easier-50cm,Flower Easier 50cm,185354,3091,0.7735084918726103,8150,29.74293886984031,2551,2215,2168.753371868979,2191.0707592281283,2148.660081021861,2220.274854059877,high
viscose-easier-s1-to-s2,Viscose Easier,Viscose Benchmark S2 Easier,controlsphere-far-far-larger-90,"Controlsphere Far, Far Larger 90%",128692,flower-easier-50cm,Flower Easier 50cm,185354,3091,0.7735084918726103,8700,37.20282634639792,2771,2299,2341.396226415094,2392.0246001275405,2360.737663572701,2398.1110657902404,high
